代码,名称,所属行业,连板数,换手率,放量倍数,综合分,次日连板概率,评级,预测理由,成交额,首次封板时间,封板资金,炸板次数,最新价
605179,一鸣食品,饮料乳品,1,6.099730491638184,1.5659525458696715,7.06,18.56,D,1板；成交额6.9亿，资金关注度高（回测：大成交额晋级率高）；放量1.6倍，温和放量；所属饮料乳品题材；同身位低分位，晋级概率有限,688891872,104302,49244001,0,30.04
301234,五洲医疗,医疗器械,1,12.501433372497559,4.459462655444843,6.76,18.56,D,1板；成交额6.8亿，资金关注度高（回测：大成交额晋级率高）；放量4.5倍，未天量分歧；所属医疗器械题材；同身位低分位，晋级概率有限,682924432,095639,17257890,13,139.74
603598,引力传媒,广告营销,1,12.446304321289062,4.1201940402899515,6.47,18.56,D,1板；成交额6.3亿，资金关注度高（回测：大成交额晋级率高）；放量4.1倍，未天量分歧；所属广告营销题材；同身位低分位，晋级概率有限,625033584,094714,29585184,1,18.96
601949,中国出版,出版,1,4.649945259094238,0.8739766812537627,6.18,18.56,D,1板；换手率4.6%，筹码稳定；成交额5.7亿，资金关注度高（回测：大成交额晋级率高）；缩量涨停，筹码锁定；所属出版题材；同身位低分位，晋级概率有限,568227936,102201,66955725,0,6.62
605178,时空科技,专业工程,1,4.006923675537109,1.5136911769589976,3.82,17.05,D,1板；换手率4.0%，筹码稳定；成交额2.9亿，资金关注度高（回测：大成交额晋级率高）；放量1.5倍，温和放量；所属专业工程题材；同身位低分位，晋级概率有限,287303456,095937,63972374,0,74.79
002290,禾盛新材,家电零部,1,1.4041242599487305,0.6930678569829583,3.53,17.05,D,1板；换手率1.4%极低，惜售锁筹（回测：同身位低换手晋级率58~79%）；成交额2.7亿，资金关注度高（回测：大成交额晋级率高）；缩量涨停，筹码锁定；所属家电零部题材；同身位低分位，晋级概率有限,270355616,092500,308716043,0,77.85
002301,齐心集团,文娱用品,1,3.8275885581970215,4.1037786092545305,3.24,17.05,D,1板；换手率3.8%，筹码稳定；成交额2.5亿，资金关注度高（回测：大成交额晋级率高）；放量4.1倍，未天量分歧；所属文娱用品题材；同身位低分位，晋级概率有限,247296628,095518,57520007,0,9.27
001268,联合精密,家电零部,1,9.907855033874512,4.484232314839163,2.94,17.05,D,1板；成交额2.4亿，资金关注度高（回测：大成交额晋级率高）；放量4.5倍，未天量分歧；所属家电零部题材；同身位低分位，晋级概率有限,243366479,094330,100400324,1,26.57
605398,新炬网络,IT服务Ⅱ,1,6.11394739151001,2.087121557294778,2.65,17.05,D,1板；成交额2.3亿，资金关注度高（回测：大成交额晋级率高）；放量2.1倍，温和放量；所属IT服务Ⅱ题材；同身位低分位，晋级概率有限,226993226,102052,55348454,1,23.63
603216,梦天家居,家居用品,1,4.255736827850342,1.2610279177201034,2.35,17.05,D,1板；换手率4.3%，筹码稳定；成交额2.1亿，资金关注度高（回测：大成交额晋级率高）；缩量涨停，筹码锁定；所属家居用品题材；同身位低分位，晋级概率有限,212778852,093623,23948925,3,22.75
605218,伟时电子,光学光电,1,4.477331161499023,4.393460997360456,2.06,17.05,D,1板；换手率4.5%，筹码稳定；成交额1.7亿，资金关注度高（回测：大成交额晋级率高）；放量4.4倍，未天量分歧；所属光学光电题材；同身位低分位，晋级概率有限,172916000,093017,3199158,0,15.94
002467,二六三,通信服务,1,7.486145973205566,3.7287105483750596,5.88,16.49,D,1板；成交额5.2亿，资金关注度高（回测：大成交额晋级率高）；放量3.7倍，未天量分歧；所属通信服务题材；同身位低分位，晋级概率有限,518071168,093245,86609734,1,5.09
603221,爱丽家居,家居用品,1,6.279420852661133,1.0137608614359295,5.59,16.49,D,1板；成交额5.0亿，资金关注度高（回测：大成交额晋级率高）；缩量涨停，筹码锁定；所属家居用品题材；同身位低分位，晋级概率有限,495512816,094633,48194575,0,33.55
600815,厦工股份,工程机械,1,5.931094169616699,1.9563982320716744,5.29,16.49,D,1板；成交额4.3亿，资金关注度高（回测：大成交额晋级率高）；放量2.0倍，温和放量；所属工程机械题材；同身位低分位，晋级概率有限,428779360,130002,36106013,0,4.19
920526,凯华材料,电子化学,1,25.662817001342773,,5.0,16.49,D,1板；换手率25.7%过高，分歧大晋级率低；成交额3.3亿，资金关注度高（回测：大成交额晋级率高）；所属电子化学题材；同身位低分位，晋级概率有限,334439248,095851,9424620,5,26.14
605258,协和电子,元件,1,8.911477088928223,0.760036129782019,4.71,16.49,D,1板；成交额3.1亿，资金关注度高（回测：大成交额晋级率高）；缩量涨停，筹码锁定；所属元件题材；同身位低分位，晋级概率有限,314011968,112713,37206200,0,42.16
000595,新能股份,电力,1,4.53752326965332,2.8008272395149687,4.41,16.49,D,1板；换手率4.5%，筹码稳定；成交额2.9亿，资金关注度高（回测：大成交额晋级率高）；放量2.8倍，温和放量；所属电力题材；同身位低分位，晋级概率有限,292121520,135203,15753465,0,5.85
603903,中持股份,环境治理,1,7.631604194641113,4.123115363426105,4.12,16.49,D,1板；成交额2.9亿，资金关注度高（回测：大成交额晋级率高）；放量4.1倍，未天量分歧；所属环境治理题材；同身位低分位，晋级概率有限,289022448,112336,25673451,1,15.27
600418,江淮汽车,商用车,1,6.34682035446167,2.203241825218452,10.0,14.97,D,1板；成交额29.1亿，资金关注度高（回测：大成交额晋级率高）；放量2.2倍，温和放量；所属商用车题材；同身位低分位，晋级概率有限,2914330912,141404,287040434,0,21.32
600641,先导基电,半导体,1,6.294138431549072,0.9938398317038013,9.71,14.97,D,1板；成交额25.5亿，资金关注度高（回测：大成交额晋级率高）；缩量涨停，筹码锁定；所属半导体题材；同身位低分位，晋级概率有限,2552043488,093058,183042277,3,43.74
002141,贤丰控股,元件,1,26.99506378173828,1.6857956792856357,9.41,14.97,D,1板；换手率27.0%过高，分歧大晋级率低；成交额20.5亿，资金关注度高（回测：大成交额晋级率高）；放量1.7倍，温和放量；所属元件题材；同身位低分位，晋级概率有限,2052062960,093545,27374349,7,7.43
603039,泛微网络,软件开发,1,12.08942985534668,4.060238111021202,9.12,14.97,D,1板；成交额14.4亿，资金关注度高（回测：大成交额晋级率高）；放量4.1倍，未天量分歧；所属软件开发题材；同身位低分位，晋级概率有限,1439688240,103229,37322962,3,39.7
605058,澳弘电子,元件,1,17.907245635986328,1.5844206038394257,8.82,14.97,D,1板；换手率17.9%过高，分歧大晋级率低；成交额13.0亿，资金关注度高（回测：大成交额晋级率高）；放量1.6倍，温和放量；所属元件题材；同身位低分位，晋级概率有限,1302590688,112227,16247350,5,53.27
600479,千金药业,中药Ⅱ,1,23.651140213012695,2.1259476619336297,8.53,14.97,D,1板；换手率23.7%过高，分歧大晋级率低；成交额12.5亿，资金关注度高（回测：大成交额晋级率高）；放量2.1倍，温和放量；所属中药Ⅱ题材；同身位低分位，晋级概率有限,1254824528,145558,5429628,1,13.57
002768,国恩股份,塑料,1,5.38254451751709,2.2182560100897586,8.24,14.97,D,1板；成交额10.0亿，资金关注度高（回测：大成交额晋级率高）；放量2.2倍，温和放量；所属塑料题材；同身位低分位，晋级概率有限,997160960,130509,16725820,5,74.86
