rank,code,name,industry,boards,prob,score,event,reason,hit,今日连板数,晋级
80,600812,华北制药,化学制药,1,0.218,6.52,重组/收购,重组/收购首板，连板起点；消息面：重组/收购；（华北制药600812.SH)：注射用赖氨匹林新增规格并通过一致性评价；华北制药6）；所属化学制药题材；同身位低分位，晋级概率有限,False,0,未涨停
81,002622,皓宸医疗,医疗服务,1,0.218,6.52,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（皓宸医疗002622.SZ)：2026年中报净利润为-1402.59万元；108）；所属医疗服务题材；同身位低分位，晋级概率有限,False,0,未涨停
82,000995,皇台酒业,白酒Ⅱ,1,0.218,6.52,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（皇台酒业000995.SZ)2026年中报净利润为-1711.73万元，同比亏损）；所属白酒Ⅱ题材；同身位低分位，晋级概率有限,False,0,未涨停
83,920478,峆一药业,化学制药,1,0.218,6.5,政策/规划,政策/规划首板，连板起点；换手率30.5%过高，分歧大晋级率低；消息面：政策/规划；（峆一药业920478龙虎榜数据09-21)；政策利好不断，A股创新药概念板块大面）；所属化学制药题材；同身位低分位，晋级概率有限,False,0,未涨停
84,300829,金丹科技,化学制品,1,0.218,6.45,业绩预增,业绩预增首板，连板起点；换手率19.4%过高，分歧大晋级率低；消息面：业绩预增；（金丹科技300829龙虎榜数据09-21)；金丹科技300829.SZ)2026）；所属化学制品题材；同身位低分位，晋级概率有限,False,0,未涨停
85,603636,南威软件,IT服务Ⅱ,1,0.218,6.43,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（南威软件603636.SH)2026年中报净利润为-1.70亿元，同比亏损放大；）；所属IT服务Ⅱ题材；同身位低分位，晋级概率有限,True,2,晋级
86,600785,新华百货,一般零售,1,0.218,6.32,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（新华百货600785.SH)2026年中报净利润为6858.96万元、较去年同期）；所属一般零售题材；同身位低分位，晋级概率有限,False,0,未涨停
87,300642,透景生命,医疗器械,1,0.218,6.3,业绩预增,业绩预增首板，连板起点；换手率25.7%过高，分歧大晋级率低；消息面：业绩预增；（透景生命300642龙虎榜数据09-21)；透景生命300642.SZ)：202）；所属医疗器械题材；同身位低分位，晋级概率有限,False,0,未涨停
88,002792,通宇通讯,通信设备,1,0.218,6.25,业绩预增,业绩预增首板，连板起点；换手率20.3%过高，分歧大晋级率低；消息面：业绩预增；（通宇通讯002792龙虎榜数据09-21)；机构风向标 | 通宇通讯002792）；所属通信设备题材；同身位低分位，晋级概率有限,False,0,未涨停
89,002795,永和智控,通用设备,1,0.218,6.23,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（永和智控002795.SZ)：完成泰兴普乐51%股权及债权转让工商变更，交易对价）；所属通用设备题材；同身位低分位，晋级概率有限,False,0,未涨停
90,300691,联合光电,计算机设,1,0.218,6.2,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（联合光电300691龙虎榜数据09-21；联合光电300691.SZ)：2026）；所属计算机设题材；同身位低分位，晋级概率有限,False,0,未涨停
91,603395,红四方,农化制品,1,0.218,6.15,业绩预增,业绩预增首板，连板起点；换手率25.4%过高，分歧大晋级率低；消息面：业绩预增；（红四方603395龙虎榜数据09-08)；红四方603395龙虎榜数据09-07）；所属农化制品题材；同身位低分位，晋级概率有限,False,0,未涨停
92,000560,我爱我家,房地产服,1,0.218,6.15,业绩预增,业绩预增首板，连板起点；换手率18.6%过高，分歧大晋级率低；消息面：业绩预增；（我爱我家000560龙虎榜数据09-21)；久违回暖！房地产板块午后走强，000）；所属房地产服题材；同身位低分位，晋级概率有限,True,2,晋级
93,600218,全柴动力,汽车零部,1,0.166,6.13,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（全柴动力600218.SH)：2026年中报净利润为4315.37万元、同比较去）；所属汽车零部题材；同身位低分位，晋级概率有限,False,0,未涨停
94,600503,华丽家族,房地产开,1,0.166,6.05,,首板，连板起点；所属房地产开题材；同身位低分位，晋级概率有限,True,2,晋级
95,600721,百花医药,医疗服务,1,0.166,5.95,业绩预增,业绩预增首板，连板起点；换手率29.0%过高，分歧大晋级率低；消息面：业绩预增；（百花医药600721龙虎榜数据09-21；8月曾走出7连板，600721股价再异）；所属医疗服务题材；同身位低分位，晋级概率有限,True,2,晋级
96,001201,东瑞股份,养殖业,1,0.166,5.95,,首板，连板起点；所属养殖业题材；同身位低分位，晋级概率有限,False,0,未涨停
97,600712,南宁百货,一般零售,1,0.159,5.8,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（南宁百货600712龙虎榜数据09-21；南宁百货600712龙虎榜数据09-1）；所属一般零售题材；同身位低分位，晋级概率有限,False,0,未涨停
98,300110,华仁药业,化学制药,1,0.159,5.75,业绩预增,业绩预增首板，连板起点；换手率15.9%过高，分歧大晋级率低；消息面：业绩预增；（300110，3分钟“20cm”涨停；华仁药业300110龙虎榜数据09-21；）；所属化学制药题材；同身位低分位，晋级概率有限,True,2,晋级
99,600613,神奇制药,化学制药,1,0.159,5.73,政策/规划,政策/规划首板，连板起点；换手率18.6%过高，分歧大晋级率低；消息面：政策/规划；（机构风向标 | 神奇制药6006132026年二季度已披露持仓机构仅6家；600）；所属化学制药题材；同身位低分位，晋级概率有限,False,0,未涨停
100,920427,华维设计,工程咨询,1,0.159,5.7,,首板，连板起点；换手率23.3%过高，分歧大晋级率低；所属工程咨询题材；同身位低分位，晋级概率有限,False,0,未涨停
